20,0.000345,0.000191
21,0.000357,0.000192
22,0.000366,0.000194
23,0.000373,0.000197
24,0.000376,0.000201
25,0.000376,0.000207
26,0.000378,0.000214
27,0.000382,0.000223
28,0.000393,0.000235
29,0.000412,0.000248
30,0.000444,0.000264
31,0.000499,0.000307
32,0.000562,0.00035
33,0.000631,0.000394
34,0.000702,0.000435
35,0.000773,0.000475
36,0.000841,0.000514
37,0.000904,0.000554
38,0.000964,0.000598
39,0.001021,0.000648
40,0.001079,0.000706
41,0.001142,0.000774
42,0.001215,0.000852
43,0.001299,0.000937
44,0.001397,0.001029
45,0.001508,0.001124
46,0.001616,0.001223
47,0.001734,0.001326
48,0.00186,0.001434
49,0.001995,0.00155
50,0.002138,0.001676
51,0.002449,0.001852
52,0.002667,0.002018
53,0.002916,0.002207
54,0.003196,0.002424
55,0.003624,0.002717
56,0.0042,0.00309
57,0.004693,0.003478
58,0.005273,0.003923
59,0.005945,0.004441
60,0.006747,0.005055
61,0.007676,0.005814
62,0.008757,0.006657
63,0.010012,0.007648
64,0.01128,0.008619
65,0.012737,0.009706
66,0.014409,0.010954
67,0.016075,0.012163
68,0.017871,0.013445
69,0.019802,0.01486
70,0.022206,0.016742
71,0.02457,0.018579
72,0.027281,0.020665
73,0.030387,0.02297
74,0.0339,0.025458
75,0.037834,0.028106
76,0.042169,0.030966
77,0.046906,0.034105
78,0.052123,0.037595
79,0.057927,0.041506
80,0.064368,0.045879
81,0.072041,0.05078
82,0.080486,0.056294
83,0.089718,0.062506
84,0.099779,0.069517
85,0.110757,0.077446
86,0.122797,0.086376
87,0.136043,0.096337
88,0.15059,0.107303
89,0.16642,0.119154
90,0.183408,0.131682
91,0.199769,0.144604
92,0.216605,0.157618
93,0.233662,0.170433
94,0.250693,0.182799
95,0.267491,0.194509
96,0.283905,0.205379
97,0.299852,0.21524
98,0.315296,0.223947
99,0.330207,0.231387
100,0.344556,0.237467
101,0.358628,0.244834
102,0.371685,0.254498
103,0.38304,0.266044
104,0.392003,0.279055
105,0.397886,0.293116
106,0.4,0.307811
107,0.4,0.322725
108,0.4,0.337441
109,0.4,0.351544
110,0.4,0.364617
111,0.4,0.376246
112,0.4,0.386015
113,0.4,0.393507
114,0.4,0.398308
115,0.4,0.4
